"Column","Type","Extra","Comment"
fields__customfield_14876__key,varchar,"",""
fields__customfield_14876__name,varchar,"",""
fields__customfield_14876__self,varchar,"",""
fields__customfield_14876__timezone,varchar,"",""
fields__customfield_14995,varchar,"",""
fields__customfield_14996,varchar,"",""
fields__customfield_15150,varchar,"",""
fields__customfield_15550,varchar,"",""
fields__customfield_15650,varchar,"",""
fields__customfield_15651,varchar,"",""
fields__customfield_15654,varchar,"",""
fields__customfield_15655,varchar,"",""
fields__customfield_15656,varchar,"",""
fields__customfield_15756,varchar,"",""
fields__customfield_15850,varchar,"",""
fields__customfield_15851,varchar,"",""
fields__customfield_16252,varchar,"",""
fields__customfield_16262,varchar,"",""
fields__customfield_16450,varchar,"",""
fields__customfield_16450__disabled,varchar,"",""
fields__customfield_16450__id,varchar,"",""
fields__customfield_16450__self,varchar,"",""
fields__customfield_16450__value,varchar,"",""
fields__customfield_16452,varchar,"",""
fields__customfield_16457,varchar,"",""
fields__customfield_16463,varchar,"",""
fields__customfield_16465,varchar,"",""
fields__customfield_16466,varchar,"",""
fields__customfield_16467,varchar,"",""
fields__customfield_16652,varchar,"",""
fields__customfield_16950,varchar,"",""
fields__customfield_16953,varchar,"",""
fields__customfield_17050,varchar,"",""
fields__customfield_17050__disabled,varchar,"",""
fields__customfield_17050__id,varchar,"",""
fields__customfield_17050__self,varchar,"",""
fields__customfield_17050__value,varchar,"",""
fields__customfield_17051,varchar,"",""
fields__customfield_17052,varchar,"",""
fields__customfield_17450,varchar,"",""
fields__customfield_17453,varchar,"",""
fields__customfield_17463,varchar,"",""
fields__customfield_17465,varchar,"",""
fields__customfield_17466,varchar,"",""
fields__customfield_17467,varchar,"",""
fields__customfield_17468,varchar,"",""
fields__customfield_17469,varchar,"",""
fields__customfield_17473,varchar,"",""
fields__customfield_17474,varchar,"",""
fields__customfield_17476,varchar,"",""
fields__customfield_17479,varchar,"",""
fields__customfield_17480,varchar,"",""
fields__customfield_17551,varchar,"",""
fields__customfield_17755,varchar,"",""
fields__customfield_17952,varchar,"",""
fields__customfield_17958,varchar,"",""
fields__customfield_17959,varchar,"",""
fields__customfield_18063,varchar,"",""
fields__customfield_18066,varchar,"",""
fields__customfield_18254,varchar,"",""
fields__customfield_18263,varchar,"",""
fields__customfield_18264,varchar,"",""
fields__customfield_18358,varchar,"",""
fields__customfield_18359,varchar,"",""
fields__customfield_18360,varchar,"",""
fields__customfield_18361,varchar,"",""
fields__customfield_18362,varchar,"",""
fields__customfield_18555,varchar,"",""
fields__customfield_18950,varchar,"",""
fields__customfield_18951,varchar,"",""
fields__customfield_18952,varchar,"",""
fields__customfield_18954,varchar,"",""
fields__customfield_18955,varchar,"",""
