"Column","Type","Extra","Comment"
fields__customfield_18362__avatarurls__32x32,varchar,"",""
fields__customfield_18362__avatarurls__48x48,varchar,"",""
fields__customfield_18362__displayname,varchar,"",""
fields__customfield_18362__emailaddress,varchar,"",""
fields__customfield_18362__key,varchar,"",""
fields__customfield_18362__name,varchar,"",""
fields__customfield_18362__self,varchar,"",""
fields__customfield_18362__timezone,varchar,"",""
fields__customfield_20265,varchar,"",""
fields__customfield_20265__disabled,varchar,"",""
fields__customfield_20265__id,varchar,"",""
fields__customfield_20265__self,varchar,"",""
fields__customfield_20265__value,varchar,"",""
fields__customfield_16852__disabled,varchar,"",""
fields__customfield_16852__id,varchar,"",""
fields__customfield_16852__self,varchar,"",""
fields__customfield_16852__value,varchar,"",""
fields__customfield_16853__disabled,varchar,"",""
fields__customfield_16853__id,varchar,"",""
fields__customfield_16853__self,varchar,"",""
fields__customfield_16853__value,varchar,"",""
fields__customfield_18750,varchar,"",""
fields__customfield_18955__errormessage,varchar,"",""
fields__customfield_18955__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_18955__i18nerrormessage__parameters,varchar,"",""
fields__customfield_19151__errormessage,varchar,"",""
fields__customfield_19151__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_19151__i18nerrormessage__parameters,varchar,"",""
fields__customfield_19152__errormessage,varchar,"",""
fields__customfield_19152__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_19152__i18nerrormessage__parameters,varchar,"",""
fields__customfield_19153__errormessage,varchar,"",""
fields__customfield_19153__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_19153__i18nerrormessage__parameters,varchar,"",""
fields__customfield_17957__active,varchar,"",""
fields__customfield_17957__avatarurls__16x16,varchar,"",""
fields__customfield_17957__avatarurls__24x24,varchar,"",""
fields__customfield_17957__avatarurls__32x32,varchar,"",""
fields__customfield_17957__avatarurls__48x48,varchar,"",""
fields__customfield_17957__displayname,varchar,"",""
fields__customfield_17957__emailaddress,varchar,"",""
fields__customfield_17957__key,varchar,"",""
fields__customfield_17957__name,varchar,"",""
fields__customfield_17957__self,varchar,"",""
fields__customfield_17957__timezone,varchar,"",""
fields__customfield_19050__errormessage,varchar,"",""
fields__customfield_19050__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_19050__i18nerrormessage__parameters,varchar,"",""
fields__customfield_19951__errormessage,varchar,"",""
fields__customfield_19951__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_19951__i18nerrormessage__parameters,varchar,"",""
fields__customfield_20391__disabled,varchar,"",""
fields__customfield_20391__id,varchar,"",""
fields__customfield_20391__self,varchar,"",""
fields__customfield_20391__value,varchar,"",""
fields__customfield_20167__active,varchar,"",""
fields__customfield_20167__avatarurls__16x16,varchar,"",""
fields__customfield_20167__avatarurls__24x24,varchar,"",""
fields__customfield_20167__avatarurls__32x32,varchar,"",""
fields__customfield_20167__avatarurls__48x48,varchar,"",""
fields__customfield_20167__displayname,varchar,"",""
fields__customfield_20167__emailaddress,varchar,"",""
fields__customfield_20167__key,varchar,"",""
fields__customfield_20167__name,varchar,"",""
fields__customfield_20167__self,varchar,"",""
fields__customfield_20167__timezone,varchar,"",""
fields__customfield_20288__errormessage,varchar,"",""
fields__customfield_20288__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_20288__i18nerrormessage__parameters,varchar,"",""
fields__customfield_20289__errormessage,varchar,"",""
fields__customfield_20289__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_20289__i18nerrormessage__parameters,varchar,"",""
fields__customfield_20750__disabled,varchar,"",""
fields__customfield_20750__id,varchar,"",""
fields__customfield_20750__self,varchar,"",""
fields__customfield_20750__value,varchar,"",""
fields__customfield_20751__disabled,varchar,"",""
fields__customfield_20751__id,varchar,"",""
fields__customfield_20751__self,varchar,"",""
fields__customfield_20751__value,varchar,"",""
fields__customfield_20752__disabled,varchar,"",""
fields__customfield_20752__id,varchar,"",""
fields__customfield_20752__self,varchar,"",""
fields__customfield_20752__value,varchar,"",""
fields__customfield_20753__disabled,varchar,"",""
fields__customfield_20753__id,varchar,"",""
fields__customfield_20753__self,varchar,"",""
fields__customfield_20753__value,varchar,"",""
fields__customfield_20754__disabled,varchar,"",""
fields__customfield_20754__id,varchar,"",""
fields__customfield_20754__self,varchar,"",""
fields__customfield_20754__value,varchar,"",""
fields__customfield_20969__disabled,varchar,"",""
fields__customfield_20969__id,varchar,"",""
fields__customfield_20969__self,varchar,"",""
fields__customfield_20969__value,varchar,"",""
